feature,bucket,horizon_min,n,mean_%,median_%,n_pos,n_neg,n_neutral,pf,fold
vol_burst,mid,15,11011,0.0004,-0.0035,2638,2743,5630,1.009,2
vol_burst,high,15,10687,-0.0008,-0.0054,2149,2281,6257,1.01,2
vol_burst,low,30,10686,0.0271,0.0134,3780,3448,3458,1.181,2
vol_burst,mid,30,11004,-0.0011,-0.0078,3408,3529,4067,0.998,2
vol_burst,high,30,10680,0.0034,-0.0091,2943,3149,4588,1.043,2
vol_burst,low,5,10691,-0.0009,-0.0012,1381,1414,7896,0.977,3
vol_burst,mid,5,11014,-0.001,-0.0018,889,964,9161,0.97,3
vol_burst,high,5,10690,0.0003,-0.0004,620,627,9443,1.027,3
vol_burst,low,15,10688,0.0005,-0.0056,2445,2515,5728,1.025,3
vol_burst,mid,15,11010,-0.0048,-0.0053,1959,2140,6911,0.934,3
vol_burst,high,15,10687,-0.0011,-0.0013,1639,1643,7405,0.977,3
vol_burst,low,30,10686,0.0049,0.0002,3169,3223,4294,1.035,3
vol_burst,mid,30,11004,-0.0094,-0.0087,2679,2939,5386,0.908,3
vol_burst,high,30,10680,-0.0068,-0.006,2334,2439,5907,0.915,3
vol_burst,low,5,10692,0.002,0.0021,1050,992,8650,1.037,4
vol_burst,mid,5,11015,-0.0001,0.0002,638,670,9707,0.944,4
vol_burst,high,5,10688,0.0011,0.0001,480,472,9736,1.037,4
vol_burst,low,15,10692,0.0073,0.0066,2219,2039,6434,1.101,4
vol_burst,mid,15,11012,0.0031,0.0033,1692,1658,7662,1.034,4
vol_burst,high,15,10681,-0.0012,0.002,1331,1343,8007,0.94,4
vol_burst,low,30,10692,0.0129,0.0076,2983,2679,5030,1.136,4
vol_burst,mid,30,11011,0.0086,0.0102,2538,2293,6180,1.107,4
vol_burst,high,30,10667,-0.0032,0.0022,2030,2052,6585,0.939,4
close_lean,low,5,42766,0.0001,0.0021,4488,4536,33742,0.945,all
close_lean,mid,5,44063,0.0008,0.0005,5835,5874,32354,1.006,all
close_lean,high,5,42766,-0.0016,-0.0024,4332,4614,33820,0.978,all
close_lean,low,15,42763,-0.0011,0.001,8673,8646,25444,0.976,all
close_lean,mid,15,44063,-0.0007,0.0001,10326,10423,23314,0.988,all
close_lean,high,15,42759,-0.0003,-0.0012,8483,8749,25527,0.999,all
close_lean,low,30,42758,-0.0005,0.0026,11621,11370,19767,0.992,all
close_lean,mid,30,44062,-0.0035,-0.0002,13220,13285,17557,0.974,all
close_lean,high,30,42750,-0.0003,-0.0008,11205,11490,20055,0.995,all
close_lean,low,5,10690,-0.0019,0.0043,1656,1726,7308,0.917,1
close_lean,mid,5,11016,-0.0009,0.001,1952,1983,7081,0.97,1
close_lean,high,5,10689,-0.0062,-0.003,1544,1788,7357,0.885,1
close_lean,low,15,10684,-0.0043,0.0041,2741,2696,5247,0.952,1
close_lean,mid,15,11016,-0.0101,-0.0001,2979,3032,5005,0.911,1
close_lean,high,15,10685,-0.0126,-0.0057,2517,2812,5356,0.881,1
close_lean,low,30,10675,-0.0095,0.0076,3401,3276,3998,0.934,1
close_lean,mid,30,11016,-0.0272,-0.0024,3540,3718,3758,0.852,1
close_lean,high,30,10679,-0.0172,-0.0036,3203,3375,4101,0.884,1
close_lean,low,5,10691,-0.0009,0.0011,1423,1423,7845,0.94,2
close_lean,mid,5,11015,0.0057,0.0024,1663,1575,7777,1.123,2
close_lean,high,5,10689,-0.0001,-0.0039,1359,1386,7944,1.057,2
close_lean,low,15,10687,0.0016,0.0,2559,2533,5595,1.019,2
close_lean,mid,15,11011,0.0083,0.0055,2857,2779,5375,1.083,2
close_lean,high,15,10687,0.0046,-0.0043,2527,2615,5545,1.068,2
close_lean,low,30,10685,0.0043,-0.0008,3283,3300,4102,1.035,2
close_lean,mid,30,11003,0.0129,0.0014,3620,3504,3879,1.099,2
close_lean,high,30,10682,0.0116,-0.006,3228,3322,4132,1.102,2
close_lean,low,5,10689,0.0008,0.0017,847,886,8956,0.97,3
close_lean,mid,5,11014,-0.0012,-0.0025,1166,1196,8652,0.99,3
close_lean,high,5,10692,-0.0012,-0.003,877,923,8892,0.993,3
close_lean,low,15,10689,-0.0042,-0.0035,1880,1974,6835,0.936,3
close_lean,mid,15,11007,-0.0019,-0.0063,2292,2412,6303,0.992,3
close_lean,high,15,10689,0.0006,-0.0014,1871,1912,6906,1.021,3
close_lean,low,30,10683,-0.0037,-0.0032,2614,2711,5358,0.958,3
close_lean,mid,30,11002,-0.0052,-0.0097,2990,3255,4757,0.955,3
close_lean,high,30,10685,-0.0026,-0.0023,2578,2635,5472,0.97,3
close_lean,low,5,10690,0.0008,0.001,619,620,9451,0.959,4
close_lean,mid,5,11015,0.0031,0.0031,943,846,9226,1.083,4
close_lean,high,5,10690,-0.0008,-0.001,606,668,9416,0.956,4
close_lean,low,15,10687,0.0012,0.0034,1559,1553,7575,0.98,4
close_lean,mid,15,11015,0.0047,0.0047,2065,1963,6987,1.068,4
close_lean,high,15,10683,0.0034,0.0031,1618,1524,7541,1.065,4
close_lean,low,30,10682,0.0041,0.0067,2362,2166,6154,1.045,4
close_lean,mid,30,11014,0.0105,0.01,2927,2615,5472,1.126,4
close_lean,high,30,10674,0.0038,0.0046,2262,2243,6169,1.037,4
